,date,red wine,white wine,sparkling wine,rose wine,isPartial,region,total_wines
0,2021-10-03,52,22,9,16,False,Loire,99
1,2021-10-10,50,22,9,14,False,Loire,95
2,2021-10-17,50,23,9,16,False,Loire,98
3,2021-10-24,57,23,9,19,False,Loire,108
4,2021-10-31,52,24,9,17,False,Loire,102
5,2021-11-07,60,25,9,18,False,Loire,112
6,2021-11-14,54,23,9,18,False,Loire,104
7,2021-11-21,59,25,10,19,False,Loire,113
8,2021-11-28,59,25,11,21,False,Loire,116
9,2021-12-05,62,30,12,23,False,Loire,127
10,2021-12-12,68,31,13,25,False,Loire,137
11,2021-12-19,100,40,17,29,False,Loire,186
12,2021-12-26,69,27,10,22,False,Loire,128
13,2022-01-02,66,28,8,17,False,Loire,119
14,2022-01-09,64,26,9,17,False,Loire,116
15,2022-01-16,59,26,10,15,False,Loire,110
16,2022-01-23,59,23,9,17,False,Loire,108
17,2022-01-30,60,27,9,20,False,Loire,116
18,2022-02-06,60,25,8,17,False,Loire,110
19,2022-02-13,62,27,10,18,False,Loire,117
20,2022-02-20,56,24,9,16,False,Loire,105
21,2022-02-27,59,22,9,19,False,Loire,109
22,2022-03-06,57,23,9,18,False,Loire,107
23,2022-03-13,59,24,11,22,False,Loire,116
24,2022-03-20,60,24,10,17,False,Loire,111
25,2022-03-27,62,27,10,18,False,Loire,117
26,2022-04-03,64,26,10,18,False,Loire,118
27,2022-04-10,65,27,12,19,False,Loire,123
28,2022-04-17,68,26,11,19,False,Loire,124
29,2022-04-24,62,26,11,19,False,Loire,118
30,2022-05-01,63,26,12,19,False,Loire,120
31,2022-05-08,59,26,12,19,False,Loire,116
32,2022-05-15,63,24,12,17,False,Loire,116
33,2022-05-22,58,24,13,21,False,Loire,116
34,2022-05-29,61,28,15,21,False,Loire,125
35,2022-06-05,59,24,13,21,False,Loire,117
36,2022-06-12,60,25,13,22,False,Loire,120
37,2022-06-19,57,26,15,22,False,Loire,120
38,2022-06-26,59,29,18,19,False,Loire,125
39,2022-07-03,59,29,16,20,False,Loire,124
40,2022-07-10,58,28,16,25,False,Loire,127
41,2022-07-17,59,26,16,24,False,Loire,125
42,2022-07-24,61,29,15,23,False,Loire,128
43,2022-07-31,60,27,15,22,False,Loire,124
44,2022-08-07,60,29,21,30,False,Loire,140
45,2022-08-14,62,28,16,25,False,Loire,131
46,2022-08-21,69,30,16,31,False,Loire,146
47,2022-08-28,59,26,12,21,False,Loire,118
48,2022-09-04,59,24,9,18,False,Loire,110
49,2022-09-11,58,24,10,17,False,Loire,109
50,2022-09-18,62,24,11,20,False,Loire,117
51,2022-09-25,60,23,10,20,False,Loire,113
